"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.corpus_id","Input.file_id","Input.token_id","Input.sentence","Input.token","Input.begin","Input.end","Answer.sentiment.label","Approve","Reject"
"302OLP89DZ7TWB5YXD4UFFYHC5KCAE","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:27 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:27 PDT 2020","","","39GAF6DQWR0VNGWRIEB7JQOOXRLV1S","A10443E11ZWEHJ","Submitted","Thu Jul 02 03:54:14 PDT 2020","Thu Jul 02 03:54:19 PDT 2020","Sun Jul 05 03:54:19 PDT 2020","","","","5","0% (0/0)","0% (0/0)","0% (0/0)","bible","LEV","19:30","""'You shall keep my Sabbaths, and reverence my sanctuary; I am Yahweh.","Sabbaths","20","28","Very Easy"
"302OLP89DZ7TWB5YXD4UFFYHC5KCAE","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:27 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:27 PDT 2020","","","3CFVK00FWLLNYXLUAGLIRDH3E40L6Y","ABVW2EYSTE6K","Submitted","Thu Jul 02 04:08:36 PDT 2020","Thu Jul 02 04:08:43 PDT 2020","Sun Jul 05 04:08:43 PDT 2020","","","","7","0% (0/0)","0% (0/0)","0% (0/0)","bible","LEV","19:30","""'You shall keep my Sabbaths, and reverence my sanctuary; I am Yahweh.","Sabbaths","20","28","Easy"
"302OLP89DZ7TWB5YXD4UFFYHC5KCAE","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:27 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:27 PDT 2020","","","3EICBYG644W6JO6VHMM8XYWL618CJH","A1V32PABM8W3KZ","Submitted","Thu Jul 02 04:28:04 PDT 2020","Thu Jul 02 04:28:17 PDT 2020","Sun Jul 05 04:28:17 PDT 2020","","","","13","80% (4/5)","0% (0/0)","0% (0/0)","bible","LEV","19:30","""'You shall keep my Sabbaths, and reverence my sanctuary; I am Yahweh.","Sabbaths","20","28","Very Easy"
"302OLP89DZ7TWB5YXD4UFFYHC5KCAE","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:27 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:27 PDT 2020","","","3FK0YFF9PZGB9SCPPSVWQEV4MVSVVH","A1PBRKFHSF1OF8","Submitted","Thu Jul 02 03:56:56 PDT 2020","Thu Jul 02 03:57:00 PDT 2020","Sun Jul 05 03:57:00 PDT 2020","","","","4","0% (0/2)","0% (0/0)","0% (0/0)","bible","LEV","19:30","""'You shall keep my Sabbaths, and reverence my sanctuary; I am Yahweh.","Sabbaths","20","28","Neutral"
"302OLP89DZ7TWB5YXD4UFFYHC5KCAE","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:27 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:27 PDT 2020","","","3OONKJ5DKCJ1AU5MJZIIUA7PNAGBOQ","A2QT3PLP9RR3K0","Submitted","Thu Jul 02 04:01:04 PDT 2020","Thu Jul 02 04:03:06 PDT 2020","Sun Jul 05 04:03:06 PDT 2020","","","","122","0% (0/0)","0% (0/0)","0% (0/0)","bible","LEV","19:30","""'You shall keep my Sabbaths, and reverence my sanctuary; I am Yahweh.","Sabbaths","20","28","Difficult"
"302OLP89DZ7TWB5YXD4UFFYHC5KCAE","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:27 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:27 PDT 2020","","","3OWEPKL089CWQX2K536PAJLOEAM7NN","A3E18P15E4GSG6","Submitted","Thu Jul 02 04:28:09 PDT 2020","Thu Jul 02 04:28:18 PDT 2020","Sun Jul 05 04:28:18 PDT 2020","","","","9","100% (1/1)","0% (0/0)","0% (0/0)","bible","LEV","19:30","""'You shall keep my Sabbaths, and reverence my sanctuary; I am Yahweh.","Sabbaths","20","28","Easy"
"302OLP89DZ7TWB5YXD4UFFYHC5KCAE","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:27 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:27 PDT 2020","","","3PS7W85Z8Z2YZTVXHWQLXEIMYIRT9H","A2P76QVLSGJR45","Submitted","Thu Jul 02 03:32:41 PDT 2020","Thu Jul 02 03:34:38 PDT 2020","Sun Jul 05 03:34:38 PDT 2020","","","","117","0% (0/0)","0% (0/0)","0% (0/0)","bible","LEV","19:30","""'You shall keep my Sabbaths, and reverence my sanctuary; I am Yahweh.","Sabbaths","20","28","Easy"
"302OLP89DZ7TWB5YXD4UFFYHC5KCAE","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:27 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:27 PDT 2020","","","3R9WASFE2ZG3MFV9QAFVTY5EMC8ZFV","A3CZ9T0BO40T0","Submitted","Thu Jul 02 03:37:49 PDT 2020","Thu Jul 02 03:37:55 PDT 2020","Sun Jul 05 03:37:55 PDT 2020","","","","6","0% (0/0)","0% (0/0)","0% (0/0)","bible","LEV","19:30","""'You shall keep my Sabbaths, and reverence my sanctuary; I am Yahweh.","Sabbaths","20","28","Easy"
"302OLP89DZ7TWB5YXD4UFFYHC5KCAE","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:27 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:27 PDT 2020","","","3S96KQ6I9M4A2J8ETCVNJA1CP3BDTN","A1L2N1X8U8Z3W7","Submitted","Thu Jul 02 04:32:22 PDT 2020","Thu Jul 02 04:32:32 PDT 2020","Sun Jul 05 04:32:32 PDT 2020","","","","10","88% (46/52)","0% (0/0)","0% (0/0)","bible","LEV","19:30","""'You shall keep my Sabbaths, and reverence my sanctuary; I am Yahweh.","Sabbaths","20","28","Difficult"
"302OLP89DZ7TWB5YXD4UFFYHC5KCAE","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:27 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:27 PDT 2020","","","3Y9N9SS8LYB532AKEXPW1XXEV4XD35","A2H0VR477QHYO7","Submitted","Thu Jul 02 04:17:00 PDT 2020","Thu Jul 02 04:18:08 PDT 2020","Sun Jul 05 04:18:08 PDT 2020","","","","68","95% (35/37)","0% (0/0)","0% (0/0)","bible","LEV","19:30","""'You shall keep my Sabbaths, and reverence my sanctuary; I am Yahweh.","Sabbaths","20","28","Neutral"
"307L9TDWJYSC3U34DOYY8IEN5Z5N3A","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:24 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:24 PDT 2020","","","37UEWGM5HT83U9FA9U6XITZLCLBR1Y","A1ILD5BPLI8X1P","Submitted","Thu Jul 02 04:35:52 PDT 2020","Thu Jul 02 04:35:58 PDT 2020","Sun Jul 05 04:35:58 PDT 2020","","","","6","0% (0/0)","0% (0/0)","0% (0/0)","bible","DEU","32:17:00","They sacrificed to demons, not God, to gods that they didn't know, to new gods that came up recently, which your fathers didn't dread.","demons","19","25","Very Easy"
"307L9TDWJYSC3U34DOYY8IEN5Z5N3A","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:24 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:24 PDT 2020","","","3AAJC4I4FGSJRHH5906G8WX6FJTZJ2","AWWR9PY50W0Z9","Submitted","Thu Jul 02 04:27:23 PDT 2020","Thu Jul 02 04:27:33 PDT 2020","Sun Jul 05 04:27:33 PDT 2020","","","","10","0% (0/0)","0% (0/0)","0% (0/0)","bible","DEU","32:17:00","They sacrificed to demons, not God, to gods that they didn't know, to new gods that came up recently, which your fathers didn't dread.","demons","19","25","Easy"
"307L9TDWJYSC3U34DOYY8IEN5Z5N3A","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:24 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:24 PDT 2020","","","3IO1LGZLK9XSJQ1BGRCEM8VXU43861","A38OC7U7R8JYLI","Submitted","Thu Jul 02 04:29:47 PDT 2020","Thu Jul 02 04:29:52 PDT 2020","Sun Jul 05 04:29:52 PDT 2020","","","","5","0% (0/0)","0% (0/0)","0% (0/0)","bible","DEU","32:17:00","They sacrificed to demons, not God, to gods that they didn't know, to new gods that came up recently, which your fathers didn't dread.","demons","19","25","Very Easy"
"307L9TDWJYSC3U34DOYY8IEN5Z5N3A","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:24 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:24 PDT 2020","","","3JMSRU9HQIUU7HQ3U26MQA7IM0SVEE","A1L2N1X8U8Z3W7","Submitted","Thu Jul 02 04:33:17 PDT 2020","Thu Jul 02 04:33:28 PDT 2020","Sun Jul 05 04:33:28 PDT 2020","","","","11","88% (46/52)","0% (0/0)","0% (0/0)","bible","DEU","32:17:00","They sacrificed to demons, not God, to gods that they didn't know, to new gods that came up recently, which your fathers didn't dread.","demons","19","25","Very Easy"
"307L9TDWJYSC3U34DOYY8IEN5Z5N3A","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:24 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:24 PDT 2020","","","3JRJSWSMQHLAV8OKAS0G7FFZVGXE3Y","A1PBRKFHSF1OF8","Submitted","Thu Jul 02 04:08:07 PDT 2020","Thu Jul 02 04:08:11 PDT 2020","Sun Jul 05 04:08:11 PDT 2020","","","","4","0% (0/2)","0% (0/0)","0% (0/0)","bible","DEU","32:17:00","They sacrificed to demons, not God, to gods that they didn't know, to new gods that came up recently, which your fathers didn't dread.","demons","19","25","Very Easy"
"307L9TDWJYSC3U34DOYY8IEN5Z5N3A","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:24 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:24 PDT 2020","","","3NOKK93PR18D564HZCHCQ6JWM5MEEO","A2H0VR477QHYO7","Submitted","Thu Jul 02 03:49:59 PDT 2020","Thu Jul 02 03:50:11 PDT 2020","Sun Jul 05 03:50:11 PDT 2020","","","","12","95% (35/37)","0% (0/0)","0% (0/0)","bible","DEU","32:17:00","They sacrificed to demons, not God, to gods that they didn't know, to new gods that came up recently, which your fathers didn't dread.","demons","19","25","Easy"
"307L9TDWJYSC3U34DOYY8IEN5Z5N3A","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:24 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:24 PDT 2020","","","3U8YCDAGXPG3BJFS0WDXZY66B7ZQ0P","A3CZ9T0BO40T0","Submitted","Thu Jul 02 03:42:51 PDT 2020","Thu Jul 02 03:42:58 PDT 2020","Sun Jul 05 03:42:58 PDT 2020","","","","7","0% (0/0)","0% (0/0)","0% (0/0)","bible","DEU","32:17:00","They sacrificed to demons, not God, to gods that they didn't know, to new gods that came up recently, which your fathers didn't dread.","demons","19","25","Difficult"
"307L9TDWJYSC3U34DOYY8IEN5Z5N3A","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:24 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:24 PDT 2020","","","3X3OR7WPZZ0A2B4I3VIGBRDUKZO8L5","A2P76QVLSGJR45","Submitted","Thu Jul 02 03:34:24 PDT 2020","Thu Jul 02 03:36:47 PDT 2020","Sun Jul 05 03:36:47 PDT 2020","","","","143","0% (0/0)","0% (0/0)","0% (0/0)","bible","DEU","32:17:00","They sacrificed to demons, not God, to gods that they didn't know, to new gods that came up recently, which your fathers didn't dread.","demons","19","25","Very Easy"
"307L9TDWJYSC3U34DOYY8IEN5Z5N3A","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:24 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:24 PDT 2020","","","3Y5140Z9DXGTI2VT49NE5XGSS5WPIU","A2QT3PLP9RR3K0","Submitted","Thu Jul 02 04:06:48 PDT 2020","Thu Jul 02 04:08:11 PDT 2020","Sun Jul 05 04:08:11 PDT 2020","","","","83","0% (0/0)","0% (0/0)","0% (0/0)","bible","DEU","32:17:00","They sacrificed to demons, not God, to gods that they didn't know, to new gods that came up recently, which your fathers didn't dread.","demons","19","25","Very Easy"
"307L9TDWJYSC3U34DOYY8IEN5Z5N3A","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:24 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:24 PDT 2020","","","3ZPBJO59KP1KXAHJTIEY5RYOE9DDHA","A10443E11ZWEHJ","Submitted","Thu Jul 02 03:56:11 PDT 2020","Thu Jul 02 03:56:16 PDT 2020","Sun Jul 05 03:56:16 PDT 2020","","","","5","0% (0/0)","0% (0/0)","0% (0/0)","bible","DEU","32:17:00","They sacrificed to demons, not God, to gods that they didn't know, to new gods that came up recently, which your fathers didn't dread.","demons","19","25","Very Easy"
"309D674SHZLYFLAQ3R4QAQINUN5CB9","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:28 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:28 PDT 2020","","","308XBLVESI4477X2BRZMO5CUYXZRBE","A1PBRKFHSF1OF8","Submitted","Thu Jul 02 03:58:39 PDT 2020","Thu Jul 02 03:58:45 PDT 2020","Sun Jul 05 03:58:45 PDT 2020","","","","6","0% (0/2)","0% (0/0)","0% (0/0)","bible","EZE","28:26:00","They shall dwell securely therein; yes, they shall build houses, and plant vineyards, and shall dwell securely, when I have executed judgments on all those who do them despite all around them; and they shall know that I am Yahweh their God.","vineyards","75","84","Very Easy"
"309D674SHZLYFLAQ3R4QAQINUN5CB9","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:28 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:28 PDT 2020","","","3IX2EGZR7BJAPQVEZJC3MTV7629JRS","A29XYWTD63Z7BS","Submitted","Thu Jul 02 04:02:43 PDT 2020","Thu Jul 02 04:02:51 PDT 2020","Sun Jul 05 04:02:51 PDT 2020","","","","8","100% (61/61)","100% (37/37)","0% (0/0)","bible","EZE","28:26:00","They shall dwell securely therein; yes, they shall build houses, and plant vineyards, and shall dwell securely, when I have executed judgments on all those who do them despite all around them; and they shall know that I am Yahweh their God.","vineyards","75","84","Very Easy"
"309D674SHZLYFLAQ3R4QAQINUN5CB9","3UTQDPKCBDPWSUR2GDU9BORSWSD519","Complex Word Identification","Tell us how difficult a word is for you to understand in a given sentence","Text complexity","$0.03","Thu Jul 02 03:27:28 PDT 2020","10","BatchId:4101538;OriginalHitTemplateId:928390909;","180","259200","Thu Jul 09 03:27:28 PDT 2020","","","3JMSRU9HQIUU7HQ3U26MQA7IM0RVED","A2HL06EX1L2MEG","Submitted","Thu Jul 02 04:20:04 PDT 2020","Thu Jul 02 04:20:13 PDT 2020","Sun Jul 05 04:20:13 PDT 2020","","","","9","100% (63/63)","100% (48/48)","0% (0/0)","bible","EZE","28:26:00","They shall dwell securely therein; yes, they shall build houses, and plant vineyards, and shall dwell securely, when I have executed judgments on all those who do them despite all around them; and they shall know that I am Yahweh their God.","vineyards","75","84","Easy"
