HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.corpus_id,Input.file_id,Input.token_id,Input.sentence,Input.token,Input.begin,Input.end,Answer.sentiment.label,Approve,Reject,,,,,,,,,,
3PIOQ99R7YMW2OGNS8UZVR4NIEENUB,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:47 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:47 PDT 2020,,,33OOO72IVHL0XR20TG0CZ4JU4L7TCB,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:26:51 PDT 2020,Tue Jul 07 06:26:52 PDT 2020,Fri Jul 10 06:26:52 PDT 2020,,,,1,99% (388/391),100% (315/315),100% (315/315),biomed,Genome Biol-4-11-329117.nxml,15,"Transcription of apparent 'singleton' olfactory receptor genes (0.5 Mb or more from the nearest other olfactory receptor gene) suggests that there is no absolute requirement for genomic clustering for an olfactory receptor to be transcribed, consistent with observations that small olfactory receptor transgenes can be expressed correctly when integrated outside native olfactory receptor clusters [35].",Mb,2223,2225,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,11,10,528,1
33NOQL7T9OZSLGNTST4OUMT7V1U8ZX,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:39 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:39 PDT 2020,,,3R8YZBNQ9HIHTUFCLVY6EDGTJ3HQ71,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:26:53 PDT 2020,Tue Jul 07 06:26:55 PDT 2020,Fri Jul 10 06:26:55 PDT 2020,,,,2,99% (388/391),100% (315/315),100% (315/315),biomed,BMC Genet-6-_-1181811.nxml,8,"For example, a QTL for PROP avoidance has been suggested on chromosome 7 [16], and we observe a suggestive QTL for quinine taste on chromosome 8 (Figure 2); in neither case are Tas2rs found at these loci (data not shown).",example,1282,1289,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,12,11,528,0
3JMQI2OLFZ5ALM516D4ALR0ZWEJND1,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:40 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:40 PDT 2020,,,3TU5ZICBRD1LT8KVV0QCSDCOUNNQ8O,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:26:55 PDT 2020,Tue Jul 07 06:26:57 PDT 2020,Fri Jul 10 06:26:57 PDT 2020,,,,2,99% (388/391),100% (315/315),100% (315/315),biomed,PLoS Med-2-12-1322285.nxml,8,"Indeed, in past studies where hyperactivity was not a factor, we established a clear relationship between amyloid load and cognitive ability [31].",load,1180,1184,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,13,12,529,1
37PGLWGSJT6QLR0K1ED5KWZ8UOMIKT,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:36 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:36 PDT 2020,,,3R6P78PK7KBDE3I5V2WVPV492DZTGL,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:26:57 PDT 2020,Tue Jul 07 06:26:59 PDT 2020,Fri Jul 10 06:26:59 PDT 2020,,,,2,99% (388/391),100% (315/315),100% (315/315),biomed,BMC Dev Biol-5-_-1208873.nxml,1,"Our findings indicate that huntingtin is required for proper patterning of the epiblast during early embryogenesis, for proper anterior streak and node formation, primitive streak progression, paraxial mesoderm and head fold formation, as well as for the proper restriction of transiently expressed growth and transcription factor genes.",restriction,262,273,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,14,13,529,0
3QHITW7OYO9XQCFH2V5PZKNYGM9QAP,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:46 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:46 PDT 2020,,,3QAPZX2QN4DMJ0D7YLNW3G83VJY02Y,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:26:59 PDT 2020,Tue Jul 07 06:27:01 PDT 2020,Fri Jul 10 06:27:01 PDT 2020,,,,2,99% (388/391),100% (315/315),100% (315/315),biomed,BMC Ophthalmol-3-_-149350.nxml,5,Beaded filament mRNA levels are greatly increased in differentiating lens epithelium and have been suggested as a pan-specific marker for lens fiber development [17].,filament,657,665,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,15,14,530,1
3K1H3NEY7LZ4BUOFJ9RFV7R2V2XGDM,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:47 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:47 PDT 2020,,,38F71OA9GTW3N8WQBLP1LW957Q3FM7,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:27:01 PDT 2020,Tue Jul 07 06:27:03 PDT 2020,Fri Jul 10 06:27:03 PDT 2020,,,,2,99% (388/391),100% (315/315),100% (315/315),biomed,BMC Neurosci-7-_-1420314.nxml,9,These studies might clarify whether ADAM11 plays an important signalling or structural role at the synaptic level and whether it participates in synaptic regulation.,role,1943,1947,Difficult,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,16,15,530,0
3D7VY91L65XBO7MHGGY4DMNZO3XBMI,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:52 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:52 PDT 2020,,,3XC1O3LBOSMT0VW66TTB2N9HYULTLR,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:27:03 PDT 2020,Tue Jul 07 06:27:05 PDT 2020,Fri Jul 10 06:27:05 PDT 2020,,,,2,99% (388/391),100% (315/315),100% (315/315),biomed,PLoS Genet-3-8-1959384.nxml,8,Another possibility is that TRIP13 is required for disassembly of NCO recombinational repair complexes [51] containing those proteins that persist abnormally on Trip13Gt/Gt pachytene chromosomes.,complexes,1174,1183,Difficult,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,17,16,531,1
3FK4G712NX0D3OGOBZGLFKW5KG1SSC,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:47 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:47 PDT 2020,,,31EUONYN2V3GJ83SOG9IVM1WQK6VOQ,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:27:05 PDT 2020,Tue Jul 07 06:27:07 PDT 2020,Fri Jul 10 06:27:07 PDT 2020,,,,2,99% (388/391),100% (315/315),100% (315/315),biomed,BMC Med Genet-7-_-1448208.nxml,3,"However, we were unable to consistently turn off the human E2 expression cassette by the potent tetracycline analogue, doxycycline in either of the two transgenic lines tested (data not shown).",analogue,527,535,Difficult,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,18,17,531,0
3N5YJ55YXG3CNF2PM3D8VQSTBBMANM,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:33 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:33 PDT 2020,,,3HUTX6F6VUN7MH5Q06P7TH4LTMDO2B,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:27:07 PDT 2020,Tue Jul 07 06:27:09 PDT 2020,Fri Jul 10 06:27:09 PDT 2020,,,,2,99% (388/391),100% (315/315),100% (315/315),biomed,BMC Neurosci-5-_-400732.nxml,7,Taken together these findings suggest that D2R-mediated signaling could play a critical role in reversal learning but are insufficient to prove it.,learning,1073,1081,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,19,18,531,0
31GN6YMHLPS6A5XXV4QMC9ZQQTXSWR,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:49 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:49 PDT 2020,,,36U2A8VAG1ZEXBDIVZ49V4OHOWYYKI,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:27:10 PDT 2020,Tue Jul 07 06:27:11 PDT 2020,Fri Jul 10 06:27:11 PDT 2020,,,,1,99% (388/391),100% (315/315),100% (315/315),biomed,PLoS Genet-1-2-1193523.nxml,1,The initial reports of patients with ESCS attributed the unusual ERG to an abnormally functioning rod photoreceptor system with persistent activity under light adaptation [6‚Äì8].,system,116,122,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,20,19,531,0
35NNO802AVWRTXLNYR5LCOGCOJRINY,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:36 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:36 PDT 2020,,,3QXNC7EIPIVXJKY6JU2BD3GH1P809Q,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:27:12 PDT 2020,Tue Jul 07 06:27:14 PDT 2020,Fri Jul 10 06:27:14 PDT 2020,,,,2,99% (388/391),100% (315/315),100% (315/315),biomed,PLoS Genet-1-2-1193530.nxml,3,"To gain further insight into the mechanisms of this disease, we developed a mouse model of MCAD deficiency by gene targeting in embryonic stem (ES) cells (for reviews [13,14]).",insight,346,353,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,21,20,532,1
33P2GD6NRNSQPWP0VWVKKKYTUB7KH2,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:32 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:32 PDT 2020,,,3VNL7UK1XFJ703MAKIQD7A4X1YZFT8,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:27:14 PDT 2020,Tue Jul 07 06:27:16 PDT 2020,Fri Jul 10 06:27:16 PDT 2020,,,,2,99% (388/391),100% (315/315),100% (315/315),biomed,Nucleic Acids Res-33-9-1140370.nxml,4,"Unexpectedly, Mcm4/6/7 helicase is not capable of efficiently unwinding the GC-rich duplex segment, suggesting that some other mechanism may be required for completion of replication of the entire genome.",replication,910,921,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,22,21,533,1
38O9DZ0A62NFBR1TA7YCNXN94X5621,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:37 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:37 PDT 2020,,,31QTRG6Q2TDF82AY8R9HRLAGI64YPJ,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:27:17 PDT 2020,Tue Jul 07 06:27:20 PDT 2020,Fri Jul 10 06:27:20 PDT 2020,,,,3,99% (388/391),100% (315/315),100% (315/315),biomed,BMC Dev Biol-6-_-1635039.nxml,7,"Secondly, the NCC death seen in Alk5 mutants affects a predominantly postmigratory population of NCCs, while genes located in the DGCR, i.e., Tbx1 and CrkL, control NCC survival earlier at E8.5-E10 by regulating proliferation of the secondary heart field (SHF), and endoderm expansion, which in turn provides survival signal for NCCs allowing them to populate the pharyngeal region [36-39].",population,1426,1436,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,23,22,533,0
3PEG1BH7AERGYJMEV4LOY9VVZY2BKD,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:51 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:51 PDT 2020,,,3JCG6DTRV3QRZCKRHU7CE4XOOT9QQZ,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:27:21 PDT 2020,Tue Jul 07 06:27:23 PDT 2020,Fri Jul 10 06:27:23 PDT 2020,,,,2,99% (388/391),100% (315/315),100% (315/315),biomed,PLoS Biol-3-4-1074790.nxml,7,"Second, mitochondrial respiratory capacity is modestly but significantly altered in skeletal muscle and liver of PGC-1Œ±‚àí/‚àí mice.",capacity,1227,1235,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,24,23,533,0
3SNR5F7R92TNZR8A5S22M1M3ARQIE9,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:33 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:33 PDT 2020,,,3X87C8JFV6B3CSZ49YWH94CP6HUQSO,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:27:23 PDT 2020,Tue Jul 07 06:27:26 PDT 2020,Fri Jul 10 06:27:26 PDT 2020,,,,3,99% (388/391),100% (315/315),100% (315/315),biomed,BMC Neurosci-6-_-548520.nxml,4,CC participated in the design and coordination of the study and all data analysis.,design,193,199,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,25,24,533,0
37PGLWGSJT6QLR0K1ED5KWZ8UOMKIV,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:32 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:32 PDT 2020,,,3ZAK8W07I4EV3CM9H5X29Z3VEAHU0A,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:27:26 PDT 2020,Tue Jul 07 06:27:28 PDT 2020,Fri Jul 10 06:27:28 PDT 2020,,,,2,99% (388/391),100% (315/315),100% (315/315),biomed,PLoS Genet-2-4-1449899.nxml,1,The ATR-X syndrome is caused by mutations in a gene (ATRX) that comprises 36 exons spanning 300 kb of genomic DNA at Chromosome Xq13.3 [3].,gene,47,51,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,26,25,533,0
3RSBJ6YZECQP1RJ9YYZDOG3PY14FOJ,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:35 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:35 PDT 2020,,,3KGTPGBS6XL2ZMPNWS1GSNWAB81U2U,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:27:28 PDT 2020,Tue Jul 07 06:27:30 PDT 2020,Fri Jul 10 06:27:30 PDT 2020,,,,2,99% (388/391),100% (315/315),100% (315/315),biomed,PLoS Genet-2-9-1584259.nxml,1,APC is a tumor suppressor gene.,suppressor,15,25,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,27,26,533,0
3UY4PIS8QRLGTRPPQKKFKPZQ7HGN1B,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Tue Jul 07 06:24:33 PDT 2020,10,BatchId:4106813;OriginalHitTemplateId:928390909;,180,259200,Tue Jul 14 06:24:33 PDT 2020,,,3DHE4R9OCWBJU4OSCNCZO8VJ20MG2G,AU3EV1ZS4045M,Submitted,Tue Jul 07 06:27:30 PDT 2020,Tue Jul 07 06:27:33 PDT 2020,Fri Jul 10 06:27:33 PDT 2020,,,,3,99% (388/391),100% (315/315),100% (315/315),biomed,PLoS Biol-2-8-509305.nxml,4,"In support of this, the expression of the human C-reactive protein, an acute-phase protein closely related to Apcs, has been shown to delay the onset and severity of lupus nephritis in the NZB/W strain by preventing the deposition of immune complexes in the renal cortex (Szalai et al. 2003).",strain,701,707,Easy,,Time taken is too short to have fully read sentences and located words in context.,,,,,,,28,27,533,0
