HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.corpus_id,Input.file_id,Input.token_id,Input.sentence,Input.token,Input.begin,Input.end,Answer.sentiment.label,Approve,Reject
32CAVSKPCEPTOH9YNLW1YKRKFBE1UI,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 06:40:24 PDT 2020,10,BatchId:4103065;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 06:40:24 PDT 2020,,,3PZDLQMM0TL6DS8NA1GGYHA44XR2C3,A1B0WR3GERFKX8,Rejected,Fri Jul 03 06:49:54 PDT 2020,Fri Jul 03 06:50:00 PDT 2020,Mon Jul 06 06:50:00 PDT 2020,,Fri Jul 03 07:39:04 PDT 2020,See block message.,6,70% (158/225),71% (157/220),71% (157/220),bible,2CH,11:14,"For the Levites left their suburbs and their possession, and came to Judah and Jerusalem: for Jeroboam and his sons cast them off, that they should not execute the priest's office to Yahweh;",suburbs,27,34,Easy,,
32LAQ1JNT9PUX1L7P4GB4QAF7U4TUI,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 06:40:25 PDT 2020,10,BatchId:4103065;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 06:40:25 PDT 2020,,,3IRIK4HM3AKUVTROX3SJOURGK2UC6V,A1B0WR3GERFKX8,Rejected,Fri Jul 03 06:51:59 PDT 2020,Fri Jul 03 06:52:05 PDT 2020,Mon Jul 06 06:52:05 PDT 2020,,Fri Jul 03 07:39:04 PDT 2020,See block message.,6,70% (158/225),71% (157/220),71% (157/220),bible,JOH,16:07,"Nevertheless I tell you the truth: It is to your advantage that I go away, for if I don't go away, the Counselor won't come to you.",advantage,49,58,Easy,,
334ZEL5JX6FY5WOV4IZCVFM4NP2OSB,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 06:40:23 PDT 2020,10,BatchId:4103065;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 06:40:23 PDT 2020,,,337RC3OW0528DN0VBOTQ35X2V4YLVA,A1B0WR3GERFKX8,Rejected,Fri Jul 03 06:50:58 PDT 2020,Fri Jul 03 06:51:03 PDT 2020,Mon Jul 06 06:51:03 PDT 2020,,Fri Jul 03 07:39:04 PDT 2020,See block message.,5,70% (158/225),71% (157/220),71% (157/220),bible,REV,03:12,"I will write on him the name of my God, and the name of the city of my God, the new Jerusalem, which comes down out of heaven from my God, and my own new name.",heaven,226,232,Easy,,
335HHSX8CD5IBQJQ3F9XG733A0EHDM,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 06:40:14 PDT 2020,10,BatchId:4103065;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 06:40:14 PDT 2020,,,3PB5A5BD0V6QG5LYIZTUKZCRD54G76,A1B0WR3GERFKX8,Rejected,Fri Jul 03 06:47:43 PDT 2020,Fri Jul 03 06:47:49 PDT 2020,Mon Jul 06 06:47:49 PDT 2020,,Fri Jul 03 07:39:01 PDT 2020,See block message.,6,70% (158/225),71% (157/220),71% (157/220),bible,NUM,21:21,"Israel sent messengers to Sihon king of the Amorites, saying,",messengers,12,22,Easy,,
336OE47KI2KM2XE1PZVRNWJXPVVWV0,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 06:40:26 PDT 2020,10,BatchId:4103065;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 06:40:26 PDT 2020,,,3FTYUGLFSUL8HHXOSGDPGUVY97UD5F,A1B0WR3GERFKX8,Rejected,Fri Jul 03 06:50:35 PDT 2020,Fri Jul 03 06:50:40 PDT 2020,Mon Jul 06 06:50:40 PDT 2020,,Fri Jul 03 07:39:05 PDT 2020,See block message.,5,70% (158/225),71% (157/220),71% (157/220),bible,EXO,16:14,"When the dew that lay had gone, behold, on the surface of the wilderness was a small round thing, small as the frost on the ground.",wilderness,62,72,Neutral,,
33KGGVH24UHL5L3TSQ7OIRQO9TUX15,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 06:40:27 PDT 2020,10,BatchId:4103065;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 06:40:27 PDT 2020,,,33NF62TLXJ2O2MIJ9Z36LH9TBHNKJM,A1B0WR3GERFKX8,Rejected,Fri Jul 03 06:52:24 PDT 2020,Fri Jul 03 06:52:30 PDT 2020,Mon Jul 06 06:52:30 PDT 2020,,Fri Jul 03 07:39:25 PDT 2020,See block message.,6,70% (158/225),71% (157/220),71% (157/220),bible,EXO,08:03,"and the river shall swarm with frogs, which shall go up and come into your house, and into your bedroom, and on your bed, and into the house of your servants, and on your people, and into your ovens, and into your kneading troughs:",troughs,223,230,Easy,,
33N1S8XHHMLAAG38T8V9FC6ZHTT1Z7,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 06:40:25 PDT 2020,10,BatchId:4103065;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 06:40:25 PDT 2020,,,36PW28KO4ZWAFTN5J7FQUNT51XXEAG,A1B0WR3GERFKX8,Rejected,Fri Jul 03 06:51:53 PDT 2020,Fri Jul 03 06:51:59 PDT 2020,Mon Jul 06 06:51:59 PDT 2020,,Fri Jul 03 07:39:04 PDT 2020,See block message.,6,70% (158/225),71% (157/220),71% (157/220),bible,JDG,19:18,"He said to him, ""We are passing from Bethlehem Judah to the farther side of the hill country of Ephraim.",Ephraim,96,103,Neutral,,
33P2GD6NRNSQPWP0VWVKKKYTU9BHKZ,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 06:40:17 PDT 2020,10,BatchId:4103065;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 06:40:17 PDT 2020,,,3IAS3U3I0FGN3NGHW1KLNX4MMCS2BX,A1B0WR3GERFKX8,Rejected,Fri Jul 03 06:52:18 PDT 2020,Fri Jul 03 06:52:24 PDT 2020,Mon Jul 06 06:52:24 PDT 2020,,Fri Jul 03 07:39:02 PDT 2020,See block message.,6,70% (158/225),71% (157/220),71% (157/220),bible,GEN,16:03,"Sarai, Abram's wife, took Hagar the Egyptian, her handmaid, after Abram had lived ten years in the land of Canaan, and gave her to Abram her husband to be his wife.",Hagar,26,31,Neutral,,
3511RHPADVEEYWLLC1JFDODE6IERL9,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 06:40:26 PDT 2020,10,BatchId:4103065;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 06:40:26 PDT 2020,,,3QRYMNZ7FYHJOVZRI69QFFD63EJTN5,A1B0WR3GERFKX8,Rejected,Fri Jul 03 06:55:54 PDT 2020,Fri Jul 03 06:56:01 PDT 2020,Mon Jul 06 06:56:01 PDT 2020,,Fri Jul 03 07:39:05 PDT 2020,See block message.,7,70% (158/225),71% (157/220),71% (157/220),bible,MIC,05:03,Therefore he will abandon them until the time that she who is in labor gives birth.,labor,65,70,Easy,,
351S7I5UG9WNO85TG9QLOPVC1WKJNB,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 06:40:16 PDT 2020,10,BatchId:4103065;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 06:40:16 PDT 2020,,,33IZTU6J811NLP0GVCR93C8I39ESXY,A1B0WR3GERFKX8,Rejected,Fri Jul 03 06:50:52 PDT 2020,Fri Jul 03 06:50:57 PDT 2020,Mon Jul 06 06:50:57 PDT 2020,,Fri Jul 03 07:39:02 PDT 2020,See block message.,5,70% (158/225),71% (157/220),71% (157/220),bible,JER,05:06,"Therefore a lion out of the forest shall kill them, a wolf of the evenings shall destroy them, a leopard shall watch against their cities; everyone who goes out there shall be torn in pieces; because their transgressions are many, and their backsliding is increased.",backsliding,241,252,Neutral,,
3538U0YQ1FU0F2QNF0FL0D5E38CF3O,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 06:40:16 PDT 2020,10,BatchId:4103065;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 06:40:16 PDT 2020,,,3OE22WJIGIOJR5R8Y3RHO5UDR3CQUF,A1B0WR3GERFKX8,Rejected,Fri Jul 03 06:51:15 PDT 2020,Fri Jul 03 06:51:21 PDT 2020,Mon Jul 06 06:51:21 PDT 2020,,Fri Jul 03 07:39:01 PDT 2020,See block message.,6,70% (158/225),71% (157/220),71% (157/220),bible,EXO,16:18,"When they measured it with an omer, he who gathered much had nothing over, and he who gathered little had no lack.",omer,30,34,Easy,,
36BTXXLZ2V8I0OE069KYR7B3KWJR4G,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 06:40:18 PDT 2020,10,BatchId:4103065;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 06:40:18 PDT 2020,,,3VNXK88KKCIDCLZMMRQ0YW67VAG9V0,A1B0WR3GERFKX8,Rejected,Fri Jul 03 06:47:12 PDT 2020,Fri Jul 03 06:47:20 PDT 2020,Mon Jul 06 06:47:20 PDT 2020,,Fri Jul 03 07:39:02 PDT 2020,See block message.,8,70% (158/225),71% (157/220),71% (157/220),bible,EXO,34:09:00,"He said, ""If now I have found favor in your sight, Lord, please let the Lord go in the midst of us; although this is a stiff-necked people; pardon our iniquity and our sin, and take us for your inheritance.""",midst,87,92,Neutral,,
371QPA24C2OEO4U9NG6RTO5IWX71TR,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 06:40:23 PDT 2020,10,BatchId:4103065;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 06:40:23 PDT 2020,,,35K3O9HUABD5BK4DUN1I8O4WYD8EFR,A1B0WR3GERFKX8,Rejected,Fri Jul 03 06:46:46 PDT 2020,Fri Jul 03 06:46:52 PDT 2020,Mon Jul 06 06:46:52 PDT 2020,,Fri Jul 03 07:39:04 PDT 2020,See block message.,6,70% (158/225),71% (157/220),71% (157/220),bible,LEV,19:37,"""'You shall observe all my statutes, and all my ordinances, and do them.",statutes,27,35,Easy,,
373L46LKP76MG2KQJWY5WXE871FJK6,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 06:40:16 PDT 2020,10,BatchId:4103065;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 06:40:16 PDT 2020,,,3TOK3KHVJTIE8I2W6I62P8LT4RXO73,A1B0WR3GERFKX8,Rejected,Fri Jul 03 06:53:23 PDT 2020,Fri Jul 03 06:55:07 PDT 2020,Mon Jul 06 06:55:07 PDT 2020,,Fri Jul 03 07:39:02 PDT 2020,See block message.,104,70% (158/225),71% (157/220),71% (157/220),bible,EXO,13:05,"It shall be, when Yahweh shall bring you into the land of the Canaanite, and the Hittite, and the Amorite, and the Hivite, and the Jebusite, which he swore to your fathers to give you, a land flowing with milk and honey, that you shall keep this service in this month.",Canaanite,62,71,Neutral,,
37VE3DA4YUHPWTL6PJIRLHF37F2HBF,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 06:40:13 PDT 2020,10,BatchId:4103065;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 06:40:13 PDT 2020,,,39LOEL67OS5TM7ETXPEGF5JDKK583D,A1B0WR3GERFKX8,Rejected,Fri Jul 03 06:48:18 PDT 2020,Fri Jul 03 06:48:24 PDT 2020,Mon Jul 06 06:48:24 PDT 2020,,Fri Jul 03 07:39:01 PDT 2020,See block message.,6,70% (158/225),71% (157/220),71% (157/220),bible,REV,22:01,"He showed me a river of water of life, clear as crystal, proceeding out of the throne of God and of the Lamb,",crystal,48,55,Easy,,
39O0SQZVJN7FJBWJ87I5UJVDBY9R70,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 06:40:19 PDT 2020,10,BatchId:4103065;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 06:40:19 PDT 2020,,,3NC5L260MOMRNBH2O14ED0YA2FEOF5,A1B0WR3GERFKX8,Rejected,Fri Jul 03 06:48:58 PDT 2020,Fri Jul 03 06:49:04 PDT 2020,Mon Jul 06 06:49:04 PDT 2020,,Fri Jul 03 07:39:03 PDT 2020,See block message.,6,70% (158/225),71% (157/220),71% (157/220),bible,1CO,09:07,"Or who feeds a flock, and doesn't drink from the flock's milk?",milk,155,159,Easy,,
3BCRDCM0ODUAS75JZD4GNT93LVVK61,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 06:40:26 PDT 2020,10,BatchId:4103065;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 06:40:26 PDT 2020,,,37QW5D2ZRGMX6OZ8N4FHNDRPC068S7,A1B0WR3GERFKX8,Rejected,Fri Jul 03 06:51:30 PDT 2020,Fri Jul 03 06:51:45 PDT 2020,Mon Jul 06 06:51:45 PDT 2020,,Fri Jul 03 07:39:05 PDT 2020,See block message.,15,70% (158/225),71% (157/220),71% (157/220),bible,PSA,40:01:00,<<For the Chief Musician.,Musician,16,24,Easy,,
3BKZLF990ZZYMUDKI1J52655JBGQYZ,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 06:40:16 PDT 2020,10,BatchId:4103065;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 06:40:16 PDT 2020,,,3XC1O3LBOSMT0VW66TTB2N9HYJHTL1,A1B0WR3GERFKX8,Rejected,Fri Jul 03 06:49:34 PDT 2020,Fri Jul 03 06:49:41 PDT 2020,Mon Jul 06 06:49:41 PDT 2020,,Fri Jul 03 07:39:02 PDT 2020,See block message.,7,70% (158/225),71% (157/220),71% (157/220),bible,2CH,05:02,"Then Solomon assembled the elders of Israel, and all the heads of the tribes, the princes of the fathers' households of the children of Israel, to Jerusalem, to bring up the ark of the covenant of Yahweh out of the city of David, which is Zion.",covenant,185,193,Neutral,,
3CMV9YRYP31X08284WA6BXRNW1KLJB,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 06:40:14 PDT 2020,10,BatchId:4103065;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 06:40:14 PDT 2020,,,3Y5140Z9DXGTI2VT49NE5XGSSC4IP9,A1B0WR3GERFKX8,Rejected,Fri Jul 03 06:52:43 PDT 2020,Fri Jul 03 06:52:49 PDT 2020,Mon Jul 06 06:52:49 PDT 2020,,Fri Jul 03 07:39:01 PDT 2020,See block message.,6,70% (158/225),71% (157/220),71% (157/220),bible,DEU,13:17,"Nothing of the devoted thing shall cling to your hand; that Yahweh may turn from the fierceness of his anger, and show you mercy, and have compassion on you, and multiply you, as he has sworn to your fathers;",fierceness,85,95,Neutral,,
3CO05SML7V5110WZN8XWF4LQ3K3R00,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 06:40:17 PDT 2020,10,BatchId:4103065;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 06:40:17 PDT 2020,,,39LNWE0K4UW6A73PLVM8F33R0TUIU3,A1B0WR3GERFKX8,Rejected,Fri Jul 03 06:48:10 PDT 2020,Fri Jul 03 06:48:17 PDT 2020,Mon Jul 06 06:48:17 PDT 2020,,Fri Jul 03 07:39:02 PDT 2020,See block message.,7,70% (158/225),71% (157/220),71% (157/220),bible,JOS,17:08,The land of Tappuah belonged to Manasseh; but Tappuah on the border of Manasseh belonged to the children of Ephraim.,border,61,67,Easy,,
3DQYSJDTYLBKPMX54E23PB9IY2YEX5,3UTQDPKCBDPWSUR2GDU9BORSWSD519,Complex Word Identification,Tell us how difficult a word is for you to understand in a given sentence,Text complexity,$0.03,Fri Jul 03 06:40:12 PDT 2020,10,BatchId:4103065;OriginalHitTemplateId:928390909;,180,259200,Fri Jul 10 06:40:12 PDT 2020,,,3IFS6Q0HJIJQVUBLWQR802L3FWBISP,A1B0WR3GERFKX8,Rejected,Fri Jul 03 06:53:10 PDT 2020,Fri Jul 03 06:55:01 PDT 2020,Mon Jul 06 06:55:01 PDT 2020,,Fri Jul 03 07:39:00 PDT 2020,See block message.,111,70% (158/225),71% (157/220),71% (157/220),bible,EZE,20:13,"But the house of Israel rebelled against me in the wilderness: they didn't walk in my statutes, and they rejected my ordinances, which if a man keep, he shall live in them; and my Sabbaths they greatly profaned.",Sabbaths,180,188,Neutral,,
